Prompt,Category
"Develop an API to integrate a payment gateway into a website.",API Integration
"Analyze the data from a recent survey on customer satisfaction with a new service.",Data Analysis
"Generate a financial report for a company's annual financial performance.",Financial Report Generation
"Create educational content for a website about the history of music.",Educational Content Creation
"Can you suggest some language learning resources for learning Japanese?",Language Learning Assistance
"Create a presentation about the importance of critical thinking.",Presentation Creation
"Write an email to a customer thanking them for their feedback.",Email Generation
"Draft a legal document outlining the terms of a non-disclosure agreement.",Legal Document
"Can you write a chatbot script for a customer service chatbot that provides information about a new product?",Chatbots and Virtual Assistants
"Create a conversation script between two friends discussing their weekend plans.",Conversation
"I'm feeling stressed about an upcoming presentation. Can you provide some tips for overcoming stage fright?",Mental health
"Generate a whimsical image of a floating island in a sky filled with stars.",Image Generation
"Create a short video tutorial explaining how to make a simple origami crane.",Video Generation
"Compose a melancholic and introspective piano piece with a slow and steady tempo.",Music Creation
"Generate a voiceover for a documentary about the history of space exploration.",Speech Generation
"Write a podcast script discussing the latest trends in artificial intelligence.",Podcast Content Creation
"Create a blog post about the importance of self-care and stress management.",Blog Writing
"Can you recommend some podcasts about travel and adventure?",Podcasts
"Write a short story about a group of people who discover a hidden portal to a magical world.",Storytelling and Narrative Creation
"Create a social media post announcing a new online community for gamers.",Social Media Posts
"Write a product description for a luxury line of watches designed for athletes.",Product Descriptions
